J7, 17.28, 16.50, 90.00, FC1-05-02-T-WT-TR, FC10502TWTTR
LED_APU_AMBER, 26.12, 20.23, 180.00, BROADCOM_HSMA-C190BROADCOM_HSMA-C190_0_0, BROADCOM_HSMA-C190_0
LED_APU_RED, 25.54, 12.65, 0.00, BROADCOM_HSMH-C170BROADCOM_HSMH-C170_0_0, BROADCOM_HSMH-C170_0
R1, 24.23, 25.49, 90.00, 0R, R0603
R15, 25.59, 14.54, 0.00, 110R, R0603
R2, 28.18, 25.38, 180.00, 0R, R0603
R3, 25.50, 22.09, 0.00, 110R, R0603
