"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AUTOMOTIVE";"CENTROID_NOT_SPECIFIED";"COLOUR";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_VARIANT_NAME_0";"FORWARD_CURRENT";"FORWARD_VOLTAGE";"HEIGHT";"LEAD_FREE";"LED_ORIENTATION";"LUMINOUS_INTENSITY";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"PACKAGE";"PEAK_EMMISION_WAVELENGTH";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"REVERSE_VOLTAGE";"ROHS";"SPICEPREFIX";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VERIFICATION_VERSION";"VIEWING_ANGLE";"VOLTAGE";"WAVELENGTH";
"2";"";"PINHD-1X13";"1X13";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0R";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";"";"";"";
"2";"110R";"R-EU_R0603";"R0603";"R3, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"R";"";"";"";"";"";"";"";
"1";"BROADCOM_HSMA-C190BROADCOM_HSMA-C190_0_0";"BROADCOM_HSMA-C190BROADCOM_HSMA-C190_0_0";"BROADCOM_HSMA-C190_0";"LED_APU_AMBER";"Amber 592nm LED Indication - Discrete 1.9V 0603 (1608 Metric)";"";"";"No";"No";"Amber";"https://docs.broadcom.com/doc/AV02-0112EN";"";"Optoelectronics";"LEDs";"unset";"LED AMBER DIFFUSED CHIP SMD";"516-1423-1-ND";"Recommended_Land_Pattern";"20mA";"1.9V";"0.9mm";"Yes";"Top View";"90mcd";"";"";"+95°C";"Broadcom";"0";"0";"0";"LED Uni-Color Amber 595nm 2-Pin Chip LED T/R";"630-HSMA-C190";"";"HSMA-C190";"0603";"595nm";"";"60mW";"D";"5V";"Yes";"";"";"+85°C";"-40°C";"0.0.0.3";"170°";"1.9V";"592nm";
"1";"BROADCOM_HSMH-C170BROADCOM_HSMH-C170_0_0";"BROADCOM_HSMH-C170BROADCOM_HSMH-C170_0_0";"BROADCOM_HSMH-C170_0";"LED_APU_RED";"LED RED DIFFUSED 0805 SMD";"";"";"";"No";"Red";"https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMz-Czzz.pdf";"";"Optoelectronics";"LEDs";"unset";"DIODE LED RED DIFFUSED 0805 SMD";"516-1427-1-ND";"";"25mA";"1.8V";"0.9mm";"yes";"Top View";"17mcd";"";"";"+95°C";"Broadcom";"HSMH-C170";"0";"0";"";"630-HSMH-C170";"";"HSMH-C170";"0805 (2012 metric)";"";"";"65mW";"D";"5V";"yes";"";"0mm";"+85°C";"-40°C";"0.0.0.1";"170°";"";"639nm";
"1";"FC1-05-02-T-WT-TR";"FC1-05-02-T-WT-TR";"FC10502TWTTR";"J7";"FFC & FPC Connectors 1.00 mm Flat Flexible Cable (FFC) Socket Strip";"";"";"";"";"";"";"FFC & FPC Connectors 1.00 mm Flat Flexible Cable (FFC) Socket Strip";"";"";"";"";"";"";"";"";"5.19mm";"";"";"";"SAMTEC";"FC1-05-02-T-WT-TR";"";"";"";"";"";"";"200-FC10502TWTTR";"https://www.mouser.co.uk/ProductDetail/Samtec/FC1-05-02-T-WT-TR?qs=rU5fayqh%252BE0IHNLE7hd%252B7w%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
